"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"6449","Ethiopia",2005,0.01,1.24,2.16,1.14,0
"6450","European Union (15)",2005,1272.02,518.06,834.97,630.91,5.6335
"6451","European Union (28)",2005,1659.37,642.22,945.6,741.05,5.7057
"6452","Fiji",2005,NA,NA,NA,NA,0
"6453","Finland",2005,26.13,10.58,12.52,5.88,0
"6454","France",2005,73.18,72.98,130.69,111.34,0
"6455","Gabon",2005,0.63,0.55,0.36,0.19,2.8154
"6456","Gambia, The",2005,NA,NA,NA,NA,0
"6457","Georgia",2005,1.25,0.59,1.5,0.99,0
"6458","Germany",2005,370.26,115.72,154.22,159.41,2.1662
"6459","Ghana",2005,1.21,1.07,3.57,0.66,0
"6460","Greece",2005,50.03,9.41,21.67,13.91,0
"6461","Grenada",2005,NA,NA,NA,NA,0
"6462","Guatemala",2005,3.25,1.65,5.08,0.56,0
"6463","Guinea",2005,NA,NA,NA,NA,0
"6464","Guinea-Bissau",2005,NA,NA,NA,NA,0
"6465","Guyana",2005,NA,NA,NA,NA,0
"6466","Haiti",2005,0.17,0.4,1.14,0.27,0
"6467","Honduras",2005,2.29,1.14,2.23,1.42,0
"6468","Hungary",2005,19.51,7.78,11.8,17.28,0.0368
"6469","Iceland",2005,0.01,0.79,0.66,0.73,0
"6470","India",2005,687.48,260.35,113.5,129.78,1.8878
"6471","Indonesia",2005,122.76,98.14,73.92,40.88,8.3391
"6472","Iran",2005,129.88,64.44,103.87,123.44,22.0337
"6473","Iraq",2005,21.05,10.07,31.31,12.47,14.011
"6474","Ireland",2005,15.43,5.61,12.53,10.36,0
"6475","Israel",2005,40.92,1.57,9.88,7.48,0.0353
"6476","Italy",2005,177.19,72.02,122.35,89.24,0
"6477","Jamaica",2005,4.26,3.23,2.18,0.53,0
"6478","Japan",2005,511.27,261.94,245.22,189.66,0
"6479","Jordan",2005,7.05,2.97,4.8,3.2,0
"6480","Kazakhstan",2005,97.75,39.96,9.46,9.88,4.6338
"6481","Kenya",2005,1.72,1.98,2.81,1.04,0
"6482","Kiribati",2005,NA,NA,NA,NA,0
"6483","Korea, Dem. Rep. (North)",2005,12.01,46.27,1.29,14.26,0
"6484","Korea, Rep. (South)",2005,225.07,89.52,86.16,68.37,0
"6485","Kuwait",2005,44.42,17.21,8.08,0.43,1.7735
"6486","Kyrgyzstan",2005,2.04,0.75,1.08,1.01,0
"6487","Laos",2005,NA,NA,NA,NA,0
"6488","Latvia",2005,2.19,1.13,3.01,1.24,0
"6489","Lebanon",2005,7.35,1.9,4.01,1.23,0
"6490","Lesotho",2005,NA,NA,NA,NA,0
"6491","Liberia",2005,NA,NA,NA,NA,0
"6492","Libya",2005,24.48,5.74,12.62,2.43,4.5828
"6493","Lithuania",2005,5.82,2.43,4.06,1.18,0
"6494","Luxembourg",2005,1.35,1.18,7.14,1.71,0
"6495","Macedonia, FYR",2005,6.01,1.13,1.02,0.62,0
"6496","Madagascar",2005,NA,NA,NA,NA,0
"6497","Malawi",2005,NA,NA,NA,NA,0
"6498","Malaysia",2005,74.74,39.08,39.09,4.58,2.9295
"6499","Maldives",2005,NA,NA,NA,NA,0
"6500","Mali",2005,NA,NA,NA,NA,0
"6501","Malta",2005,2.32,0.01,0.32,0.06,0
"6502","Mauritania",2005,NA,NA,NA,NA,0
"6503","Mauritius",2005,1.55,0.34,0.85,0.19,0
"6504","Mexico",2005,168.92,55.69,129.61,31.54,3.3607
"6505","Moldova",2005,3.76,1,0.76,2.16,0
"6506","Mongolia",2005,6.71,0.61,1.16,0.99,0
"6507","Montenegro",2005,1.11,0.36,0.47,0.02,NA
"6508","Morocco",2005,16.66,6.81,10.09,5.89,0
"6509","Mozambique",2005,0.02,0.27,1.03,0.19,0
"6510","Myanmar",2005,3.08,2.08,4.65,0.79,0.3665
"6511","Namibia",2005,0.04,0.22,1.38,0.69,0
"6512","Nauru",2005,NA,NA,NA,NA,0
"6513","Nepal",2005,0.01,1,0.83,1.19,0
"6514","Netherlands",2005,72.24,37.83,34.04,36.01,0.0622
"6515","New Zealand",2005,11.65,5.49,13.39,3.34,0.0373
"6516","Nicaragua",2005,1.57,0.67,1.44,0.35,0
"6517","Niger",2005,NA,NA,NA,NA,0
"6518","Nigeria",2005,16.92,6.9,28.36,5.68,40.7915
"6519","Niue",2005,NA,NA,NA,NA,0
"6520","Norway",2005,11.96,7.93,12.94,3.53,1.1205
"6521","Oman",2005,15.24,6,3.63,1.05,1.7558
"6522","Pakistan",2005,37.23,41.27,28.69,13.32,0
"6523","Palau",2005,NA,NA,NA,NA,NA
"6524","Panama",2005,1.6,1.96,2.83,0.43,0
"6525","Papua New Guinea",2005,NA,NA,NA,NA,0
"6526","Paraguay",2005,0,0.23,3.02,0.19,0
"6527","Peru",2005,7.41,8.46,9.97,3.04,0.5242
"6528","Philippines",2005,30.33,10.24,24.9,5.13,0.3575
"6529","Poland",2005,169.37,39.06,34.41,50.09,0.0336
"6530","Portugal",2005,27.69,9.59,18.96,6.55,0
"6531","Qatar",2005,20.7,10.86,4.68,0.16,7.5339
"6532","Romania",2005,48.18,23.24,11.99,11.07,0
"6533","Russian Federation",2005,934.29,201.58,219.04,156.93,26.6705
"6534","Rwanda",2005,NA,NA,NA,NA,0
"6535","Saint Kitts & Nevis",2005,NA,NA,NA,NA,0
"6536","Saint Lucia",2005,NA,NA,NA,NA,0
"6537","Saint Vincent & Grenadines",2005,NA,NA,NA,NA,0
"6538","Samoa",2005,NA,NA,NA,NA,0
"6539","Sao Tome & Principe",2005,NA,NA,NA,NA,0
"6540","Saudi Arabia",2005,150.32,70.01,74.98,4,0.3547
"6541","Senegal",2005,1.92,0.77,1.45,0.51,0
"6542","Serbia",2005,32.39,7.27,6.49,3,NA
"6543","Seychelles",2005,NA,NA,NA,NA,0
"6544","Sierra Leone",2005,NA,NA,NA,NA,0
"6545","Singapore",2005,27.01,9.65,5.54,0.51,0
"6546","Slovakia",2005,15.76,9.56,6.45,6.33,0.0019
"6547","Slovenia",2005,6.19,2.71,4.27,2.43,0
"6548","Solomon Islands",2005,NA,NA,NA,NA,0
"6549","South Africa",2005,210.08,51.94,42.76,24.66,0.266
"6550","Spain",2005,129.51,64.37,108.69,36.88,0
"6551","Sri Lanka",2005,4.61,1.18,6.25,1.22,0
"6552","Sudan",2005,2.72,1.3,4.86,1.35,0
"6553","Suriname",2005,NA,NA,NA,NA,0
"6554","Swaziland",2005,NA,NA,NA,NA,0
"6555","Sweden",2005,11.45,11.83,22.49,4.58,0
"6556","Switzerland",2005,3.88,6.1,16.45,18.18,0
"6557","Syria",2005,23.05,7.76,13.49,10.61,0.4927
"6558","Tajikistan",2005,0.59,0,0.12,1.63,0
"6559","Tanzania",2005,1.35,0.52,2.67,0.55,0.0151
"6560","Thailand",2005,84.05,57.53,54.39,14.82,0
"6561","Togo",2005,0.07,0.12,0.61,0.19,0
"6562","Tonga",2005,NA,NA,NA,NA,0
"6563","Trinidad & Tobago",2005,11.74,16.67,2.13,0.41,2.3258
"6564","Tunisia",2005,6.14,5.39,4.54,4.11,0.7145
"6565","Turkey",2005,79.98,56.64,37.19,42.55,0.0054
"6566","Turkmenistan",2005,18.67,2.78,6.64,19.73,0
"6567","Uganda",2005,NA,NA,NA,NA,0
"6568","Ukraine",2005,136.43,89.57,30.32,49.28,0
"6569","United Arab Emirates",2005,53.12,33.31,22.51,0.13,1.5838
"6570","United Kingdom",2005,239.92,61.74,126.27,105,3.0269
"6571","United States",2005,2756.99,604.06,1789.87,622.59,6.6924
"6572","Uruguay",2005,1.18,0.76,2.28,1.08,0
"6573","Uzbekistan",2005,40.34,17.04,8.66,42.54,0
"6574","Vanuatu",2005,NA,NA,NA,NA,0
"6575","Venezuela",2005,55.05,42.03,41.86,9,14.6556
"6576","Vietnam",2005,23.96,25.39,19.05,11.35,0.6305
"6577","World",2005,12434.81,5384.58,6452.87,3221.73,226.8828
"6578","Yemen",2005,5.36,2.66,5.52,5.11,0
"6579","Zambia",2005,0.11,0.88,0.91,0.19,0
"6580","Zimbabwe",2005,5.92,1.63,1.3,1.26,0
"6581","Afghanistan",2006,NA,NA,NA,NA,0
"6582","Albania",2006,0.27,0.76,1.9,0.94,0
"6583","Algeria",2006,34.16,10.85,25.38,12.11,6.4667
"6584","Angola",2006,1.09,2.25,3.23,1.94,11.528
"6585","Antigua & Barbuda",2006,NA,NA,NA,NA,0
"6586","Argentina",2006,50.17,38.06,41.41,32.57,1.2537
"6587","Armenia",2006,0.9,1.45,0.66,1.14,0
"6588","Australia",2006,229.94,47.93,80.41,17.99,0.3466
"6589","Austria",2006,24.38,12.61,23.13,12.36,0
"6590","Azerbaijan",2006,16.91,2.58,4.85,5.94,4.0013
"6591","Bahamas, The",2006,NA,NA,NA,NA,0
"6592","Bahrain",2006,19.35,2.27,2.59,0.19,0
"6593","Bangladesh",2006,16.98,8.59,5.05,7.55,0
"6594","Barbados",2006,NA,NA,NA,NA,0
"6595","Belarus",2006,36.76,12.62,9.06,7.29,0
"6596","Belgium",2006,28.93,28.37,25.22,27.84,0
"6597","Belize",2006,NA,NA,NA,NA,0
"6598","Benin",2006,0.11,0.13,1.94,1.03,0
"6599","Bhutan",2006,NA,NA,NA,NA,0
"6600","Bolivia",2006,2.95,1.19,3.9,2.22,0.2726
"6601","Bosnia & Herzegovina",2006,11.7,1.17,2.86,1.5,0
"6602","Botswana",2006,1.25,0.97,1.61,0.19,0
"6603","Brazil",2006,58.87,96.33,138.59,34.12,3.4033
"6604","Brunei",2006,4.21,1.9,1.02,0.07,0
"6605","Bulgaria",2006,28.53,8.66,8.04,2.32,0
"6606","Burkina Faso",2006,NA,NA,NA,NA,0
"6607","Burundi",2006,NA,NA,NA,NA,0
"6608","Cambodia",2006,0.94,0.14,1.6,0.27,0
"6609","Cameroon",2006,0.61,0.25,1.85,0.41,3.4407
"6610","Canada",2006,187.15,98.6,162.72,91.93,3.7536
"6611","Cape Verde",2006,NA,NA,NA,NA,0
"6612","Central African Republic",2006,NA,NA,NA,NA,0
"6613","Chad",2006,NA,NA,NA,NA,0
"6614","Chile",2006,20.88,16.49,18.1,4.38,0.1003
"6615","China",2006,3042.92,1948.65,447.43,474.48,0
"6616","Colombia",2006,12.41,17.8,21.2,6.74,0.5654
"6617","Comoros",2006,NA,NA,NA,NA,0
"6618","Congo, Dem. Rep.",2006,0.02,0.15,1.18,0.03,0
"6619","Congo, Rep.",2006,0.05,0.07,0.83,0.06,3.9018
"6620","Cook Islands",2006,NA,NA,NA,NA,0
"6621","Costa Rica",2006,0.56,0.97,3.92,0.45,0
"6622","Cote d'Ivoire",2006,2.34,0.55,1.27,1.46,0
"6623","Croatia",2006,6.93,4.33,5.9,3.6,0
"6624","Cuba",2006,12.98,8.09,1.86,2.78,0.1821
"6625","Cyprus",2006,3.53,0.89,1.99,0.66,0
"6626","Czech Republic",2006,66.38,22.86,17.53,13.9,0
"6627","Denmark",2006,31.26,5.34,13.43,6.17,0.3713
"6628","Djibouti",2006,NA,NA,NA,NA,0
"6629","Dominica",2006,NA,NA,NA,NA,0
"6630","Dominican Republic",2006,8.83,2.22,5.71,1.61,0
"6631","Ecuador",2006,7.5,4.62,11.43,3.15,1.7405
"6632","Egypt",2006,65.93,41.49,33.15,17.9,1.4188
"6633","El Salvador",2006,1.81,1.21,2.91,0.59,0
"6634","Equatorial Guinea",2006,NA,NA,NA,NA,2.1846
"6635","Eritrea",2006,0.26,0.03,0.14,0.08,0
"6636","Estonia",2006,11.39,1.23,2.28,0.64,0
"6637","Ethiopia",2006,0.01,1.33,2.31,1.22,0
"6638","European Union (15)",2006,1289.2,505.28,840.02,617.5,5.45
"6639","European Union (28)",2006,1682.13,627.64,957.38,730.71,5.4959
"6640","Fiji",2006,NA,NA,NA,NA,0
"6641","Finland",2006,37.55,10.63,12.7,5.62,0
"6642","France",2006,68.74,74.47,130.32,106.01,0
"6643","Gabon",2006,0.61,0.63,0.37,0.19,2.1116
"6644","Gambia, The",2006,NA,NA,NA,NA,0
"6645","Georgia",2006,1.53,0.72,1.56,0.97,0
"6646","Germany",2006,374.62,117.37,152.13,167.62,2.16
"6647","Ghana",2006,2.42,1.15,3.61,0.65,0
"6648","Greece",2006,48.38,9.68,22.23,13.8,0
"6649","Grenada",2006,NA,NA,NA,NA,0
"6650","Guatemala",2006,3.11,1.66,5.18,0.58,0
"6651","Guinea",2006,NA,NA,NA,NA,0
"6652","Guinea-Bissau",2006,NA,NA,NA,NA,0
"6653","Guyana",2006,NA,NA,NA,NA,0
"6654","Haiti",2006,0.17,0.41,1.17,0.28,0
"6655","Honduras",2006,1.59,1.31,2.22,1.2,0
"6656","Hungary",2006,19.83,7.53,12.52,15.77,0.0067
"6657","Iceland",2006,0.01,0.72,0.89,0.62,0
"6658","India",2006,735.76,293.03,118.46,135.93,1.6181
"6659","Indonesia",2006,128.71,118.18,70.27,36.61,6.0648
"6660","Iran",2006,137.02,69.9,110.01,138.13,29.0661
"6661","Iraq",2006,16.71,6.39,24.55,11.07,13.6563
"6662","Ireland",2006,15.13,5.6,13.59,10.61,0
"6663","Israel",2006,42.02,1.76,9.94,8.25,0.0532
"6664","Italy",2006,179.12,68.43,123.52,83.5,0
"6665","Jamaica",2006,3.63,5.14,2.12,0.76,0
"6666","Japan",2006,502,265.35,241.61,184.11,0
"6667","Jordan",2006,7.65,3.02,4.71,3.04,0
"6668","Kazakhstan",2006,116.93,28.48,10.43,17.27,5.7998
"6669","Kenya",2006,1.93,2.54,3.15,0.98,0
"6670","Kiribati",2006,NA,NA,NA,NA,0
"6671","Korea, Dem. Rep. (North)",2006,11.99,47.39,0.99,14.61,0
"6672","Korea, Rep. (South)",2006,232.95,95.12,86.1,62.53,0
"6673","Kuwait",2006,46.78,13.25,9.16,0.43,1.5962
"6674","Kyrgyzstan",2006,1.92,0.74,1.15,1.06,0
"6675","Laos",2006,NA,NA,NA,NA,0
"6676","Latvia",2006,2.22,1.18,3.32,1.3,0
"6677","Lebanon",2006,8.2,0.84,3.86,0.75,0
"6678","Lesotho",2006,NA,NA,NA,NA,0
"6679","Liberia",2006,NA,NA,NA,NA,0
"6680","Libya",2006,24.45,5.52,12.64,1.63,5.2852
"6681","Lithuania",2006,5.34,2.61,4.33,1.31,0
"6682","Luxembourg",2006,1.42,1.26,6.83,1.69,0
"6683","Macedonia, FYR",2006,5.97,1.25,1.02,0.54,0
"6684","Madagascar",2006,NA,NA,NA,NA,0
"6685","Malawi",2006,NA,NA,NA,NA,0
"6686","Malaysia",2006,79.19,42.97,37.33,5.21,2.7464
"6687","Maldives",2006,NA,NA,NA,NA,0
"6688","Mali",2006,NA,NA,NA,NA,0
"6689","Malta",2006,2.16,0.01,0.35,0.06,0
"6690","Mauritania",2006,NA,NA,NA,NA,0
"6691","Mauritius",2006,1.82,0.4,0.86,0.18,0
"6692","Mexico",2006,166.06,59.5,136.99,32.39,5.0476
"6693","Moldova",2006,3.78,0.74,0.81,2.15,0
"6694","Mongolia",2006,6.75,1.3,1.3,1.13,0
"6695","Montenegro",2006,1.27,0.42,0.46,0.07,0
"6696","Morocco",2006,16.74,6.53,10.4,6.22,0
"6697","Mozambique",2006,0.02,0.31,1.11,0.18,0
"6698","Myanmar",2006,3.06,2.01,3.95,0.76,0.2749
"6699","Namibia",2006,0.14,0.24,1.26,0.72,0
"6700","Nauru",2006,NA,NA,NA,NA,0
"6701","Nepal",2006,0.01,0.61,0.88,0.98,0
"6702","Netherlands",2006,70.36,36.59,35.23,36.15,0.0482
"6703","New Zealand",2006,11.62,5.64,13.54,3.23,0.0399
"6704","Nicaragua",2006,1.68,0.71,1.48,0.36,0
"6705","Niger",2006,NA,NA,NA,NA,0
"6706","Nigeria",2006,16.69,6.48,23.85,5.18,39.5501
"6707","Niue",2006,NA,NA,NA,NA,0
"6708","Norway",2006,12.38,7.98,13.54,3.52,1.1163
"6709","Oman",2006,16.36,12.49,4.05,1.09,2.5362
"6710","Pakistan",2006,42.27,44.4,29.09,14.13,0
"6711","Palau",2006,NA,NA,NA,NA,NA
"6712","Panama",2006,1.86,1.76,3.01,0.57,0
"6713","Papua New Guinea",2006,NA,NA,NA,NA,0
"6714","Paraguay",2006,0,0.18,3.2,0.31,0
"6715","Peru",2006,6.94,8.05,10.71,2.7,0.6291
"6716","Philippines",2006,26.17,10.51,23.13,4.89,0.3578
"6717","Poland",2006,174.91,38.85,38.1,52.5,0.0293
"6718","Portugal",2006,24.2,8.94,18.9,5.44,0
"6719","Qatar",2006,24.68,11.51,5.59,0.19,5.9885
"6720","Romania",2006,50.01,21.72,12.44,12.52,0
"6721","Russian Federation",2006,979.03,200.55,227.23,159.76,27.8301
"6722","Rwanda",2006,NA,NA,NA,NA,0
"6723","Saint Kitts & Nevis",2006,NA,NA,NA,NA,0
"6724","Saint Lucia",2006,NA,NA,NA,NA,0
"6725","Saint Vincent & Grenadines",2006,NA,NA,NA,NA,0
"6726","Samoa",2006,NA,NA,NA,NA,0
"6727","Sao Tome & Principe",2006,NA,NA,NA,NA,0
"6728","Saudi Arabia",2006,157.36,73.96,81.03,3.87,0.1242
"6729","Senegal",2006,1.85,0.58,1.54,0.48,0
"6730","Serbia",2006,34.19,8.39,7.02,1.99,0
"6731","Seychelles",2006,NA,NA,NA,NA,0
"6732","Sierra Leone",2006,NA,NA,NA,NA,0
"6733","Singapore",2006,27.02,9.99,5.75,0.47,0
"6734","Slovakia",2006,15.37,9.64,6.06,6.4,0.0099
"6735","Slovenia",2006,6.33,2.85,4.5,2.23,0
"6736","Solomon Islands",2006,NA,NA,NA,NA,0
"6737","South Africa",2006,211.47,47.55,43.89,27.82,0
"6738","Spain",2006,128.14,53.77,112.47,37.5,0
"6739","Sri Lanka",2006,3.38,1.15,5.93,1.21,0
"6740","Sudan",2006,3.42,1.87,5.88,1.55,0
"6741","Suriname",2006,NA,NA,NA,NA,0
"6742","Swaziland",2006,NA,NA,NA,NA,0
"6743","Sweden",2006,11.69,10.74,22.44,3.15,0
"6744","Switzerland",2006,4.18,6.34,16.57,17.16,0
"6745","Syria",2006,24.57,8.23,14.32,10.85,0.4399
"6746","Tajikistan",2006,0.59,0,0.16,1.79,0
"6747","Tanzania",2006,1.58,0.53,2.81,0.56,0.01
"6748","Thailand",2006,85.75,60.93,50.74,15.5,0
"6749","Togo",2006,0.1,0.09,0.57,0.13,0
"6750","Tonga",2006,NA,NA,NA,NA,0
"6751","Trinidad & Tobago",2006,13.87,17.38,2.61,0.44,2.453
"6752","Tunisia",2006,6.64,5.51,4.51,3.9,0.8165
"6753","Turkey",2006,88.85,62.65,42.15,46.01,0.0054
"6754","Turkmenistan",2006,19.42,2.91,6.51,20.08,0.176
"6755","Uganda",2006,NA,NA,NA,NA,0
"6756","Ukraine",2006,135.78,93.56,29.96,50.99,0
"6757","United Arab Emirates",2006,56.69,34.84,23.67,0.13,1.7295
"6758","United Kingdom",2006,245.28,61.48,127.88,100.04,2.8705
"6759","United States",2006,2694.24,628.3,1788.16,573.75,7.2548
"6760","Uruguay",2006,2.02,0.72,2.37,1.1,0
"6761","Uzbekistan",2006,41.31,17.05,8.65,43.5,0
"6762","Vanuatu",2006,NA,NA,NA,NA,0
"6763","Venezuela",2006,58.71,40.56,39.39,5.59,6.6268
"6764","Vietnam",2006,26.31,25.59,19,11.24,1.4411
"6765","World",2006,12918.8,5614.18,6588.53,3200.1,222.5008
"6766","Yemen",2006,5.6,2.6,5.16,5.34,0
"6767","Zambia",2006,0.09,0.75,0.96,0.17,0
"6768","Zimbabwe",2006,3.83,2.09,1.28,2.26,0
"6769","Afghanistan",2007,NA,NA,NA,NA,0
"6770","Albania",2007,0.33,0.72,2.07,0.73,0
"6771","Algeria",2007,33.9,11.87,27.33,13.51,9.1611
"6772","Angola",2007,1.21,2.43,3.82,2.31,12.9469
"6773","Antigua & Barbuda",2007,NA,NA,NA,NA,0
"6774","Argentina",2007,55.82,37.8,42.08,32.92,1.5445
"6775","Armenia",2007,1.08,1.18,1.05,1.48,0
"6776","Australia",2007,236.86,48.59,82.72,18.12,0.3661
"6777","Austria",2007,23.95,12.11,23.36,10.6,0
"6778","Azerbaijan",2007,14.51,2.49,3.77,6.07,4.5469
"6779","Bahamas, The",2007,NA,NA,NA,NA,0
"6780","Bahrain",2007,19.61,2.12,2.82,0.19,0
"6781","Bangladesh",2007,18.05,9.45,5.31,7.78,0
"6782","Barbados",2007,NA,NA,NA,NA,0
"6783","Belarus",2007,34.86,12.15,9.22,7.26,0
"6784","Belgium",2007,28.35,28.03,25.02,24.55,0
"6785","Belize",2007,NA,NA,NA,NA,0
"6786","Benin",2007,0.15,0.13,2.41,1.06,0
"6787","Bhutan",2007,NA,NA,NA,NA,0
"6788","Bolivia",2007,3.25,1.29,4.38,2.27,0.2544
"6789","Bosnia & Herzegovina",2007,12.24,1.24,3.02,1.65,0
"6790","Botswana",2007,1.05,1.2,1.72,0.31,0
"6791","Brazil",2007,58.12,104.56,144.21,35.71,3.5689
"6792","Brunei",2007,3.77,1.84,1.11,0.11,0
"6793","Bulgaria",2007,31.82,9.11,7.88,2.04,0
"6794","Burkina Faso",2007,NA,NA,NA,NA,0
"6795","Burundi",2007,NA,NA,NA,NA,0
"6796","Cambodia",2007,1.2,0.17,1.73,0.3,0
"6797","Cameroon",2007,1.33,0.29,2.12,0.37,3.4407
"6798","Canada",2007,199.01,107.24,167.03,96.11,3.4283
"6799","Cape Verde",2007,NA,NA,NA,NA,0
"6800","Central African Republic",2007,NA,NA,NA,NA,0
"6801","Chad",2007,NA,NA,NA,NA,0
"6802","Chile",2007,26.18,14.74,19.61,4.85,0.3484
"6803","China",2007,3294.33,2048.02,485.95,488.16,0
"6804","Colombia",2007,12.6,17.39,21.67,6.77,0.5654
"6805","Comoros",2007,NA,NA,NA,NA,0
"6806","Congo, Dem. Rep.",2007,0.03,0.15,1.32,0.02,0
"6807","Congo, Rep.",2007,0.05,0.06,0.88,0.07,3.9018
"6808","Cook Islands",2007,NA,NA,NA,NA,0
"6809","Costa Rica",2007,0.73,1.18,4.21,0.47,0
"6810","Cote d'Ivoire",2007,2.45,0.43,1.28,1.38,0
"6811","Croatia",2007,8.04,4.44,6.27,3.29,0
"6812","Cuba",2007,13.41,8.41,1.89,2.77,0.1821
"6813","Cyprus",2007,3.71,0.9,2.12,0.64,0
"6814","Czech Republic",2007,71.44,20.87,18.49,11.63,0
"6815","Denmark",2007,26.65,5.16,14.02,5.7,0.3172
"6816","Djibouti",2007,NA,NA,NA,NA,0
"6817","Dominica",2007,NA,NA,NA,NA,0
"6818","Dominican Republic",2007,8.82,2.14,5.63,1.65,0
"6819","Ecuador",2007,7.25,3.87,12.36,3.2,1.7405
"6820","Egypt",2007,67.21,46.87,36.67,19.55,1.5075
"6821","El Salvador",2007,1.89,1.43,3.12,0.49,0
"6822","Equatorial Guinea",2007,NA,NA,NA,NA,1.4564
"6823","Eritrea",2007,0.27,0.02,0.12,0.07,0
"6824","Estonia",2007,14.72,1.52,2.41,0.61,0
"6825","Ethiopia",2007,0.16,1.44,2.52,1.34,0
"6826","European Union (15)",2007,1294.24,511.64,840.13,547.73,3.7957
"6827","European Union (28)",2007,1695.46,635.05,966.36,648.97,3.8678
"6828","Fiji",2007,NA,NA,NA,NA,0
"6829","Finland",2007,35.65,10.25,13.03,5.29,0
"6830","France",2007,71.07,74.22,129.6,98.17,0
"6831","Gabon",2007,0.76,0.53,0.42,0.22,1.9356
"6832","Gambia, The",2007,NA,NA,NA,NA,0
"6833","Georgia",2007,1.76,0.62,2.04,1.12,0
"6834","Germany",2007,386.48,116.69,147.16,128.99,2.0655
"6835","Ghana",2007,2.63,1.18,3.81,0.87,0
"6836","Greece",2007,51.66,10.83,22.78,12.55,0
"6837","Grenada",2007,NA,NA,NA,NA,0
"6838","Guatemala",2007,3.31,1.99,5.47,0.59,0
"6839","Guinea",2007,NA,NA,NA,NA,0
"6840","Guinea-Bissau",2007,NA,NA,NA,NA,0
"6841","Guyana",2007,NA,NA,NA,NA,0
"6842","Haiti",2007,0.24,0.52,1.31,0.24,0
"6843","Honduras",2007,2.65,1.75,3.17,0.47,0
"6844","Hungary",2007,20.73,7.47,12.93,13,0.0133
"6845","Iceland",2007,0.02,0.69,0.96,0.64,0
"6846","India",2007,821.29,313.59,140.33,128.9,1.6541
"6847","Indonesia",2007,137.02,119.33,73.96,37.21,5.2499
"6848","Iran",2007,144.6,85.78,109.43,148.58,28.8182
"6849","Iraq",2007,17.53,8.31,29.06,10.69,12.7695
"6850","Ireland",2007,14.76,5.03,14.24,10.21,0
"6851","Israel",2007,43.57,1.75,10.49,8.3,0.0532
"6852","Italy",2007,178.9,67.44,124.11,76.82,0
"6853","Jamaica",2007,3.7,5.1,2.04,0.83,0
"6854","Japan",2007,556.74,260.55,235.62,176.12,0
"6855","Jordan",2007,8.31,2.98,5.04,2.9,0
"6856","Kazakhstan",2007,113.57,39.91,11.98,21.63,5.7998
"6857","Kenya",2007,1.92,2.34,3.19,1.02,0
"6858","Kiribati",2007,NA,NA,NA,NA,0
"6859","Korea, Dem. Rep. (North)",2007,10.13,38.75,1.18,11.95,0
"6860","Korea, Rep. (South)",2007,249.62,91.63,88.47,60.72,0
"6861","Kuwait",2007,48.24,11.95,9.47,0.46,0.4434
"6862","Kyrgyzstan",2007,1.9,0.97,1.73,1.35,0
"6863","Laos",2007,NA,NA,NA,NA,0
"6864","Latvia",2007,2.09,1.19,3.75,1.3,0
"6865","Lebanon",2007,7.99,0.64,3.04,0.34,0
"6866","Lesotho",2007,NA,NA,NA,NA,0
"6867","Liberia",2007,NA,NA,NA,NA,0
"6868","Libya",2007,22.64,5.36,11.5,1.59,5.1592
"6869","Lithuania",2007,4.81,3.31,5.02,1.28,0
"6870","Luxembourg",2007,1.28,1.16,6.57,1.61,0
"6871","Macedonia, FYR",2007,6.1,1.46,1.17,0.5,0
"6872","Madagascar",2007,NA,NA,NA,NA,0
"6873","Malawi",2007,NA,NA,NA,NA,0
"6874","Malaysia",2007,85.77,46.73,40.01,6.72,2.3802
"6875","Maldives",2007,NA,NA,NA,NA,0
"6876","Mali",2007,NA,NA,NA,NA,0
"6877","Malta",2007,2.32,0.01,0.33,0.06,0
"6878","Mauritania",2007,NA,NA,NA,NA,0
"6879","Mauritius",2007,1.95,0.4,0.82,0.17,0
"6880","Mexico",2007,171.76,61.29,144.8,32.25,10.0777
"6881","Moldova",2007,3.69,0.87,0.93,1.86,0
"6882","Mongolia",2007,7.25,1.25,1.57,0.98,0
"6883","Montenegro",2007,0.99,0.45,0.6,0.04,0
"6884","Morocco",2007,16.54,7.17,11.05,6.75,0
"6885","Mozambique",2007,0.01,0.38,1.38,0.2,0
"6886","Myanmar",2007,3.05,1.96,4.41,0.78,0.1833
"6887","Namibia",2007,0.17,0.25,1.27,0.75,0
"6888","Nauru",2007,NA,NA,NA,NA,0
"6889","Nepal",2007,0.01,0.79,0.9,0.84,0
"6890","Netherlands",2007,68.63,43.78,34.46,34.09,0.1167
"6891","New Zealand",2007,10.09,5.95,13.67,3.11,0.1854
"6892","Nicaragua",2007,1.79,0.66,1.53,0.38,0
"6893","Niger",2007,NA,NA,NA,NA,0
"6894","Nigeria",2007,16.99,6.44,20.75,4.47,39.5501
"6895","Niue",2007,NA,NA,NA,NA,0
"6896","Norway",2007,12.72,7.89,14.13,3.27,1.1111
"6897","Oman",2007,16.57,14.51,6.35,1.35,2.483
"6898","Pakistan",2007,43.13,48.82,34.29,15.24,0
"6899","Palau",2007,NA,NA,NA,NA,NA
"6900","Panama",2007,2.05,1.69,2.78,0.53,0
